虚空之女,迷失之牙,含羞蓓蕾,不祥之刃,牛头酋长,暴怒骑士,雪原双子,影流之主,残月之肃,魂锁典狱长,66595,75356,失败
虚空之女,迷失之牙,狂野女猎手,元素女皇,曙光女神,永恒梦魇,水晶先锋,诡术妖姬,逆羽,酒桶,19404,29146,失败
虚空之女,麦林炮手,虚空遁地兽,狂暴之心,邪恶小法师,荒漠屠夫,盲僧,暮光星灵,荣耀行刑官,扭曲树精,54107,40153,胜利
虚空之女,德玛西亚之翼,含羞蓓蕾,沙漠皇帝,风暴之怒,荒漠屠夫,虚空掠夺者,正义巨像,探险家,扭曲树精,37675,48480,失败
虚空之女,青钢影,含羞蓓蕾,封魔剑魂,牛头酋长,武器大师,祖安怒兽,发条魔灵,战争女神,腕豪,59348,65105,胜利
虚空之女,迷失之牙,狂野女猎手,机械先驱,深海泰坦,齐天大圣,狂战士,冰霜女巫,深渊巨口,牛头酋长,53896,41773,胜利
虚空之女,破败之王,战争之影,潮汐海灵,圣锤之毅,炼金术士,虚空掠夺者,发条魔灵,赏金猎人,蒸汽机器人,65172,51483,胜利
虚空之女,暗裔剑魔,战争之影,暮光星灵,血港鬼影,圣锤之毅,恶魔小丑,机械先驱,逆羽,正义巨像,47589,57064,失败
虚空之女,破败之王,战争之影,暮光星灵,蒸汽机器人,海洋之灾,含羞蓓蕾,封魔剑魂,暴走萝莉,深海泰坦,52763,58209,失败
虚空之女,迷失之牙,盲僧,刀锋舞者,蒸汽机器人,未来守护者,破败之王,暮光星灵,涤魂圣枪,魂锁典狱长,44918,35602,胜利
虚空之女,未来守护者,盲僧,不详之刃,深海泰坦,狂暴之心,影流之镰,封魔剑魂,暗夜猎手,酒桶,53221,37529,胜利
虚空之女,圣锤之毅,含羞蓓蕾,荒漠屠夫,深海泰坦,熔岩巨兽,法外狂徒,正义巨像,暗夜猎手,酒桶,82562,86613,失败
虚空之女,青钢影,含羞蓓蕾,封魔剑魂,深海泰坦,暗裔剑魔,狂野女猎手,元素女皇,复仇之矛,弗雷尔卓德之心,60632,67420,失败
虚空之女,暴怒骑士,酒桶,元素女皇,血港鬼影,青钢影,翠神,虚空行者,暴走萝莉,仙灵女巫,35343,38915,失败
虚空之女,荒漠屠夫,盲僧,时间刺客,蒸汽机器人,海洋之灾,圣锤之毅,机械公敌,暴走萝莉,魂锁典狱长,42921,24185,胜利
虚空之女,未来守护者,含羞蓓蕾,不屈之枪,腕豪,荒漠屠夫,盲僧,时间刺客,麦林炮手,正义巨像,59565,66788,失败
虚空之女,熔岩巨兽,含羞蓓蕾,腕豪,熔铁少女,猩红收割者,战争之影,刀锋舞者,逆羽,血港鬼影,53253,50609,胜利
虚空之女,诺克萨斯之手,岩雀,封魔剑魂,幻翎,青钢影,含羞蓓蕾,圣枪游侠,探险家,蒸汽机器人,67459,60194,胜利
虚空之女,刀锋舞者,蜘蛛女皇,刀锋之影,魂锁典狱长,未来守护者,岩雀,圣枪游侠,探险家,深海泰坦,34808,46978,失败
虚空之女,刀锋舞者,战争之影,卡牌大师,仙灵女巫,暗裔剑魔,虚空掠夺者,诡术妖姬,麦林炮手,星簌歌姬,35576,48179,失败
虚空之女,熔岩巨兽,虚空掠夺者,虚空行者,熔铁少女,未来守护者,含羞蓓蕾,暮光星灵,暴走萝莉,牛头酋长,49420,36065,胜利
虚空之女,未来守护者,圣锤之毅,沙漠皇帝,牛头酋长,迷失之牙,岩雀,封魔剑魂,皮城女警,熔铁少女,31486,40202,失败
虚空之女,刀锋舞者,含羞蓓蕾,机械先驱,蒸汽机器人,迷失之牙,盲僧,永恒梦魇,探险家,岩雀,56931,45151,胜利
虚空之女,刀锋舞者,含羞蓓蕾,封魔剑魂,正义巨像,狂暴之心,傲之追猎者,机械先驱,逆羽,牛头酋长,30047,40519,失败
虚空之女,刀锋舞者,死亡颂唱者,元素女皇,酒桶,圣枪游侠,龙血武姬,无双剑姬,逆羽,熔铁少女,33661,45450,失败
虚空之女,迷失之牙,永猎双子,暮光星灵,星簌歌姬,刀锋舞者,影流之镰,沙漠皇帝,探险家,星界游神,48907,58776,失败
虚空之女,熔岩巨兽,岩雀,封魔剑魂,扭曲树精,青钢影,圣锤之毅,解脱者,复仇之矛,酒桶,61251,51934,胜利
虚空之女,影流之主,含羞蓓蕾,潮汐海灵,熔铁少女,亡灵战神,岩雀,不屈之枪,圣枪游侠,正义巨像,53879,42241,胜利
虚空之女,破败之王,影流之镰,发条魔灵,圣锤之毅,海洋之灾,虚空掠夺者,不屈之枪,赏金猎人,熔铁少女,44414,34269,胜利
虚空之女,诺克萨斯之手,含羞蓓蕾,青钢影,熔铁少女,狂暴之心,战争之影,刀锋之影,探险家,腕豪,35382,29249,胜利
虚空之女,荒漠屠夫,圣锤之毅,发条魔灵,熔铁少女,破败之王,祖安怒兽,光辉女郎,残月之肃,牛头酋长,24682,31361,失败
虚空之女,亡灵战神,狂野女猎手,发条魔灵,幻翎,迷失之牙,虚空掠夺者,暮光星灵,逆羽,血港鬼影,42335,41148,胜利
虚空之女,熔岩巨兽,远古恐惧,荒漠屠夫,生化魔人,未来守护者,德玛西亚皇子,潮汐海灵,逆羽,酒桶,46760,48945,失败
虚空之女,破败之王,盲僧,暗黑元首,幻翎,暮光之眼,恶魔小丑,疾风剑豪,逆羽,深海泰坦,64911,59200,胜利
虚空之女,暮光之眼,岩雀,时间刺客,幻翎,亡灵战神,含羞蓓蕾,未来守护者,大发明家,血港鬼影,63144,62656,胜利
虚空之女,迷失之牙,狂野女猎手,刀锋之影,深海泰坦,圣枪游侠,法外狂徒,暗黑元首,暴走萝莉,魂锁典狱长,63402,54335,胜利
虚空之女,迷失之牙,狂野女猎手,发条魔灵,熔铁少女,山隐之焰,法外狂徒,卡牌大师,探险家,牛头酋长,29905,41059,失败
虚空之女,熔岩巨兽,狂战士,星簌歌姬,仙灵女巫,机械先驱,破败之王,荒漠屠夫,荣耀行刑官,诺克萨斯统领,10287,22436,失败
虚空之女,圣枪游侠,狂野女猎手,元素女皇,诺克萨斯统领,未来守护者,傲之追猎者,铸星龙王,深渊巨口,牛头酋长,59268,53627,胜利
虚空之女,荒漠屠夫,战争之影,机械公敌,腕豪,青钢影,时间刺客,卡牌大师,探险家,星簌歌姬,35337,42388,失败
虚空之女,刀锋舞者,战争之影,沙漠皇帝,星簌歌姬,迷失之牙,蜘蛛女皇,虚空行者,荣耀行刑官,牛头酋长,59038,44787,胜利
虚空之女,暴怒骑士,战争之影,潮汐海灵,牛头酋长,破败之王,狂野女猎手,刀锋之影,赏金猎人,星簌歌姬,52522,63443,失败
虚空之女,万花通灵,影流之镰,铸星龙王,星簌歌姬,仙灵女巫,虚空掠夺者,机械先驱,疾风剑豪,诺克萨斯统领,20026,34128,失败
虚空之女,机械公敌,时间刺客,破败之王,血港鬼影,迷失之牙,含羞蓓蕾,暗黑元首,复仇之矛,星簌歌姬,38347,42612,失败
虚空之女,武器大师,盲僧,冰霜女巫,曙光女神,暴怒骑士,战争之影,沙漠皇帝,荣耀行刑官,魂锁典狱长,52864,42925,胜利
虚空之女,仙灵女巫,破败之王,解脱者,血港鬼影,迷失之牙,虚空遁地兽,符文法师,残月之肃,酒桶,34562,20424,胜利
虚空之女,扭曲树精,恶魔小丑,猩红收割者,深海泰坦,青钢影,含羞蓓蕾,刀锋之影,残月之肃,天启者,57966,53930,胜利
虚空之女,酒桶,盲僧,卡牌大师,魂锁典狱长,暗裔剑魔,狂野女猎手,疾风剑豪,麦林炮手,牛头酋长,51978,65672,失败
